Field,Type,Null,Key,Default,Extra
MyUnknownColumn,int,YES,,NULL,
"Order Date",text,YES,,NULL,
"Ship Date",text,YES,,NULL,
"Ship Mode",text,YES,,NULL,
"Customer ID",int,YES,,NULL,
Country/Region,text,YES,,NULL,
City,text,YES,,NULL,
State/Province,text,YES,,NULL,
"Postal Code",int,YES,,NULL,
Division,text,YES,,NULL,
Region,text,YES,,NULL,
"Product Name",text,YES,,NULL,
Sales,double,YES,,NULL,
Units,int,YES,,NULL,
"Gross Profit",double,YES,,NULL,
Cost,double,YES,,NULL,
Factory,text,YES,,NULL,
Latitude,double,YES,,NULL,
Longitude,double,YES,,NULL,
