Unnamed: 0,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product Name,Sales,Units,Gross Profit,Cost,Factory,Latitude,Longitude,Fulfillment Days
0,2021-03-31,2021-09-26,Standard Class,128055,United States,San Francisco,California,94122,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,179
1,2021-03-31,2021-09-26,Standard Class,128055,United States,San Francisco,California,94122,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,32.881893,-111.768036,179
2,2021-09-15,2022-03-13,Standard Class,138100,United States,New York City,New York,10011,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,32.881893,-111.768036,179
3,2021-09-15,2022-03-13,Standard Class,138100,United States,New York City,New York,10011,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,179
4,2022-10-04,2023-03-29,First Class,121391,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,176
5,2023-03-03,2023-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,32.881893,-111.768036,178
6,2023-03-03,2023-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,32.881893,-111.768036,178
7,2023-03-03,2023-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,Lot's O' Nuts,32.881893,-111.768036,178
8,2023-03-03,2023-08-28,Standard Class,103982,United States,Round Rock,Texas,78664,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,178
9,2024-06-29,2024-12-25,Standard Class,147039,United States,Minneapolis,Minnesota,55407,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,32.881893,-111.768036,179
10,2024-06-29,2024-12-25,Standard Class,147039,United States,Minneapolis,Minnesota,55407,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,32.881893,-111.768036,179
11,2021-04-21,2021-10-16,Standard Class,158064,United States,Los Angeles,California,90008,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,32.076176,-81.088371,178
12,2021-10-24,2022-04-21,Standard Class,130729,United States,Rancho Cucamonga,California,91730,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,179
13,2022-02-03,2022-07-29,First Class,140921,United States,Omaha,Nebraska,68104,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,176
14,2022-02-03,2022-07-29,First Class,140921,United States,Omaha,Nebraska,68104,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,32.881893,-111.768036,176
15,2022-05-08,2022-11-02,Standard Class,109939,United States,Salem,Oregon,97301,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,32.881893,-111.768036,178
16,2022-11-13,2023-05-09,Standard Class,114503,United States,Lebanon,Tennessee,37087,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,Lot's O' Nuts,32.881893,-111.768036,177
17,2023-07-10,2024-01-05,Standard Class,126613,United States,Mesa,Arizona,85204,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,179
18,2023-11-14,2024-05-08,Second Class,131065,United States,Atlanta,Georgia,30318,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,32.881893,-111.768036,176
19,2023-11-14,2024-05-08,Second Class,131065,United States,Atlanta,Georgia,30318,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,32.881893,-111.768036,176
20,2023-11-14,2024-05-08,Second Class,131065,United States,Atlanta,Georgia,30318,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,32.881893,-111.768036,176
21,2024-09-07,2025-03-02,First Class,169488,United States,Providence,Rhode Island,02908,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,176
22,2024-09-07,2025-03-02,First Class,169488,United States,Providence,Rhode Island,02908,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,32.076176,-81.088371,176
23,2024-12-11,2025-06-07,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,32.881893,-111.768036,178
24,2024-12-11,2025-06-07,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,178
